Page,#,Field name,Type,Decimal places,Required,Fillable
Page 1 - Cover,1,INNOVATIVE LAB SERVICES LLC - API 4000 LC/MS/MS SYSTEM - PLANNED MAINTENANCE PROCEDURE,Static text (label only - not fillable),,,
Page 1 - Cover,2,Instrument Serial #,Text,,Yes,Yes
Page 1 - Cover,3,Instrument Name / INV #,Text,,Yes,Yes
Page 2 - Customer & Sign Off,1,ANALYST SOFTWARE LC/MS/MS SYSTEM,Static text (label only - not fillable),,,
Page 2 - Customer & Sign Off,2,Customer Site,Text,,Yes,Yes
Page 2 - Customer & Sign Off,3,Serial Number,Text,,Yes,Yes
Page 2 - Customer & Sign Off,4,Customer Name,Text,,Yes,Yes
Page 2 - Customer & Sign Off,5,Service Engineer,Text,,Yes,Yes
Page 2 - Customer & Sign Off,6,Date,Date,,Yes,Yes
Page 2 - Customer & Sign Off,7,"All PM tests are run using Chemical Kit P/N 4406127. All Pre and Post tests use the Standard Turbo V Source. Printed copies of all test runs, method files and calibration runs are filed in the instrument IQ/OQ binder with a copy of this procedure.",Static text (label only - not fillable),,,
Page 2 - Customer & Sign Off,8,SIGN OFF - By signing this form you acknowledge that the planned maintenance was completely performed.,Static text (label only - not fillable),,,
Page 2 - Customer & Sign Off,9,Customer signature,Signature,,,Yes
Page 2 - Customer & Sign Off,10,Service Engineer signature,Signature,,,Yes
Page 3 - Pre-PM: Vacuum & Positive Ion,1,PRE-PM SECTION. Pre-PM tests do not need to pass specifications. Record Pre-PM performance.,Static text (label only - not fillable),,,
Page 3 - Pre-PM: Vacuum & Positive Ion,2,1.0  VACUUM PRESSURE CHECK,Static text (label only - not fillable),,,
Page 3 - Pre-PM: Vacuum & Positive Ion,3,Guideline:  CAD = 0  ->  <= 0.8x10-5 torr (0.08 V),Static text (label only - not fillable),,,
Page 3 - Pre-PM: Vacuum & Positive Ion,4,"Recorded vacuum pressure, CAD = 0",Text,,,Yes
Page 3 - Pre-PM: Vacuum & Positive Ion,5,Guideline:  CAD = 12  ->  <= 5.5x10-5 torr (+/- 0.3x10-5),Static text (label only - not fillable),,,
Page 3 - Pre-PM: Vacuum & Positive Ion,6,"Recorded vacuum pressure, CAD = 12",Text,,,Yes
Page 3 - Pre-PM: Vacuum & Positive Ion,7,2.0  POSITIVE ION MODE TEST - Printouts required. Use 50:1 diluted Standard PPG (2x10-6M). Guideline: 10 Scans MCA.,Static text (label only - not fillable),,,
Page 3 - Pre-PM: Vacuum & Positive Ion,8,Q1 - m/z 906.673,Static text (label only - not fillable),,,
Page 3 - Pre-PM: Vacuum & Positive Ion,9,Q1 m/z 906.673 Intensity  (spec >= 2.0x10^7),Text,,,Yes
Page 3 - Pre-PM: Vacuum & Positive Ion,10,Q1 m/z 906.673 FWHM amu  (spec 0.6 - 0.8),Number (decimal),2,,Yes
Page 3 - Pre-PM: Vacuum & Positive Ion,11,Q1 - m/z 2242.6,Static text (label only - not fillable),,,
Page 3 - Pre-PM: Vacuum & Positive Ion,12,Q1 m/z 2242.6 Intensity  (spec >= 1.0x10^6),Text,,,Yes
Page 3 - Pre-PM: Vacuum & Positive Ion,13,Q1 m/z 2242.6 FWHM amu  (spec 0.6 - 0.8),Number (decimal),2,,Yes
Page 3 - Pre-PM: Vacuum & Positive Ion,14,Q3 - m/z 906.673,Static text (label only - not fillable),,,
Page 3 - Pre-PM: Vacuum & Positive Ion,15,Q3 m/z 906.673 Intensity  (spec >= 2.0x10^7),Text,,,Yes
Page 3 - Pre-PM: Vacuum & Positive Ion,16,Q3 m/z 906.673 FWHM amu  (spec 0.6 - 0.8),Number (decimal),2,,Yes
Page 3 - Pre-PM: Vacuum & Positive Ion,17,Q3 - m/z 2242.6,Static text (label only - not fillable),,,
Page 3 - Pre-PM: Vacuum & Positive Ion,18,Q3 m/z 2242.6 Intensity  (spec >= 8.0x10^5),Text,,,Yes
Page 3 - Pre-PM: Vacuum & Positive Ion,19,Q3 m/z 2242.6 FWHM amu  (spec 0.6 - 0.8),Number (decimal),2,,Yes
Page 4 - Pre-PM: Negative Ion & Reserpine,1,"3.0  NEGATIVE ION MODE TEST (10 SCANS MCA) - Printouts required. Use PPG 3000 (2x10-4M) negative PPG solution, no dilution required.",Static text (label only - not fillable),,,
Page 4 - Pre-PM: Negative Ion & Reserpine,2,Q1 - m/z 933.636,Static text (label only - not fillable),,,
Page 4 - Pre-PM: Negative Ion & Reserpine,3,Q1 m/z 933.636 Intensity  (spec >= 1.1x10^7),Text,,,Yes
Page 4 - Pre-PM: Negative Ion & Reserpine,4,Q1 m/z 933.636 FWHM amu  (spec 0.6 - 0.8),Number (decimal),2,,Yes
Page 4 - Pre-PM: Negative Ion & Reserpine,5,Q1 - m/z 2037.4,Static text (label only - not fillable),,,
Page 4 - Pre-PM: Negative Ion & Reserpine,6,Q1 m/z 2037.4 Intensity  (spec >= 1.0x10^6),Text,,,Yes
Page 4 - Pre-PM: Negative Ion & Reserpine,7,Q1 m/z 2037.4 FWHM amu  (spec 0.6 - 0.8),Number (decimal),2,,Yes
Page 4 - Pre-PM: Negative Ion & Reserpine,8,Q3 - m/z 933.636,Static text (label only - not fillable),,,
Page 4 - Pre-PM: Negative Ion & Reserpine,9,Q3 m/z 933.636 Intensity  (spec >= 9.0x10^6),Text,,,Yes
Page 4 - Pre-PM: Negative Ion & Reserpine,10,Q3 m/z 933.636 FWHM amu  (spec 0.6 - 0.8),Number (decimal),2,,Yes
Page 4 - Pre-PM: Negative Ion & Reserpine,11,Q3 - m/z 2037.4 is N/A per the procedure,Static text (label only - not fillable),,,
Page 4 - Pre-PM: Negative Ion & Reserpine,12,4.0  RESERPINE MS/MS TEST (10 SCANS MCA),Static text (label only - not fillable),,,
Page 4 - Pre-PM: Negative Ion & Reserpine,13,Use diluted reserpine 6:1 (0.16 pmol/ul). Printouts required.,Static text (label only - not fillable),,,
Page 4 - Pre-PM: Negative Ion & Reserpine,14,Attenuated m/z 609.3,Static text (label only - not fillable),,,
Page 4 - Pre-PM: Negative Ion & Reserpine,15,Attenuated m/z 609.3 Intensity  (spec record),Text,,,Yes
Page 4 - Pre-PM: Negative Ion & Reserpine,16,Attenuated m/z 609.3 FWHM amu  (spec 0.6 - 0.8),Number (decimal),2,,Yes
Page 4 - Pre-PM: Negative Ion & Reserpine,17,m/z 195.0,Static text (label only - not fillable),,,
Page 4 - Pre-PM: Negative Ion & Reserpine,18,m/z 195.0 Intensity  (spec record),Text,,,Yes
Page 4 - Pre-PM: Negative Ion & Reserpine,19,m/z 195.0 FWHM amu  (spec 0.6 - 0.8),Number (decimal),2,,Yes
Page 4 - Pre-PM: Negative Ion & Reserpine,20,MS/MS Transmission Efficiency %  (m/z 195.0 / attenuated m/z 609.3) x 100  (spec >= 10.0),Number (decimal),2,,Yes
Page 5 - PM Section,1,PM SECTION,Static text (label only - not fillable),,,
Page 5 - PM Section,2,1. Check operation of the Turbo V ion source heaters,Checkbox,,,Yes
Page 5 - PM Section,3,2. Check lens voltages (Lens Power Supply module),Checkbox,,,Yes
Page 5 - PM Section,4,"3. Check RF tuning voltages (Q1 and Q3 QPS AMP module). Only if required, tune QPS AMPs.",Checkbox,,,Yes
Page 5 - PM Section,5,4. Check operation of the instrument cooling fans,Checkbox,,,Yes
